7,25
8,11
8,12
8,24
8,26
9,11
9,12
9,24
9,26
10,25
10,32
10,38
11,32
11,38
12,32
12,33
12,37
12,38
14,28
14,29
14,30
14,33
14,34
14,36
14,37
14,40
14,41
14,42
15,30
15,32
15,34
15,36
15,38
15,40
16,12
16,32
16,33
16,37
16,38
17,11
17,13
18,11
18,14
18,32
18,33
18,37
18,38
19,12
19,13
19,30
19,32
19,34
19,36
19,38
19,40
20,28
20,29
20,30
20,33
20,34
20,36
20,37
20,40
20,41
20,42
21,20
21,21
22,20
22,22
22,32
22,33
22,37
22,38
23,21
23,32
23,38
24,32
24,38
26,4
26,5
27,4
27,5
28,6
28,7
29,6
29,7
35,25
35,28
35,30
35,31
35,33
35,36
36,12
36,24
36,25
36,28
36,33
36,36
36,37
37,12
37,25
37,28
37,30
37,31
37,33
37,36
38,12
